Probeset,Ensembl ID ,Symbol,Type,Probe quality
ILMN_2388547,ENSG00000133106,EPSTI1,targetboth,Perfect
ILMN_1760062,ENSG00000137965,IFI44,targetboth,Perfect
ILMN_2347798,ENSG00000126709,IFI6,targetboth,Perfect
ILMN_1707695,ENSG00000185745,IFIT1,targetboth,Perfect
ILMN_1699331,ENSG00000185745,IFIT1,targetboth,Bad
ILMN_1739428,ENSG00000119922,IFIT2,targetboth,Perfect
ILMN_2239754,ENSG00000119917,IFIT3,targetboth,Perfect
ILMN_1701789,ENSG00000119917,IFIT3,targetboth,Perfect
ILMN_1664543,ENSG00000119917,IFIT3,targetboth,Perfect
ILMN_2054019,ENSG00000187608,ISG15,targetboth,Perfect
ILMN_1736729,ENSG00000111335,OAS2,targetboth,Perfect
ILMN_1709333,ENSG00000111335,OAS2,targetboth,Perfect
ILMN_1674063,ENSG00000111335,OAS2,targetboth,Bad
ILMN_1681721,ENSG00000135114,OASL,targetcardio,Perfect
ILMN_1674811,ENSG00000135114,OASL,targetcardio,Perfect
ILMN_1708672,ENSG00000120437,ACAT2,expandedghs,Perfect
ILMN_1749014,ENSG00000131473,ACLY,expandedghs,Perfect
ILMN_2344956,ENSG00000143727,ACP1,expandedghs,Perfect
ILMN_2370882,ENSG00000197142,ACSL5,expandedghs,Perfect
ILMN_2388605,ENSG00000138071,ACTR2,expandedghs,Perfect
ILMN_2320964,ENSG00000160710,ADAR,expandedboth,Perfect
ILMN_1655935,ENSG00000121281,ADCY7,expandedghs,Perfect
ILMN_2129015,ENSG00000172493,AFF1,expandedghs,Perfect
ILMN_1767722,ENSG00000119844,AFTPH,expandedghs,Perfect
ILMN_1662049,ENSG00000155189,AGPAT5,expandedboth,Perfect
ILMN_1770454,ENSG00000188157,AGRN,expandedghs,Perfect
ILMN_1703538,ENSG00000204472,AIF1,expandedghs,Perfect
,ENSG00000206319,,,
,ENSG00000206428,,,
ILMN_1792473,ENSG00000204472,AIF1,expandedghs,Perfect
,ENSG00000206319,,,
,ENSG00000206428,,,
ILMN_1797974,ENSG00000146416,AIG1,expandedghs,Perfect
ILMN_1681301,ENSG00000163568,AIM2,expandedghs,Perfect
ILMN_1709348,ENSG00000165092,ALDH1A1,expandedghs,Perfect
ILMN_2078697,NA,NA,expandedghs,Bad
ILMN_1799848,ENSG00000152766,ANKRD22,expandedghs,Perfect
ILMN_2132599,ENSG00000152766,ANKRD22,expandedboth,Perfect
ILMN_1711899,ENSG00000182718,ANXA2,expandedboth,Perfect
ILMN_2399627,ENSG00000166747,AP1G1,expandedghs,Perfect
ILMN_2362122,ENSG00000185009,AP3M1,expandedghs,Perfect
ILMN_2412172,ENSG00000128394,APOBEC3F,expandedboth,Perfect
ILMN_1702706,ENSG00000128394,APOBEC3F,expandedghs,Perfect
ILMN_1802106,ENSG00000128394,APOBEC3G,expandedghs,Perfect
,ENSG00000221877,,,
,,,,
ILMN_2232478,ENSG00000128394,APOBEC3G,expandedboth,Perfect
,ENSG00000221877,,,
ILMN_1756862,NA,NA,expandedboth,Bad
ILMN_1717154,ENSG00000021776,AQR,expandedghs,Perfect
ILMN_1723884,ENSG00000168374,ARF4,expandedboth,Perfect
ILMN_1777998,ENSG00000163219,ARHGAP25,expandedghs,Perfect
ILMN_2408851,ENSG00000186517,ARHGAP30,expandedghs,Perfect
ILMN_1795247,ENSG00000189079,ARID2,expandedghs,Perfect
ILMN_1781151,ENSG00000114098,ARMC8,expandedboth,Perfect
ILMN_1716026,ENSG00000198960,ARMCX6,expandedghs,Perfect
ILMN_1655561,ENSG00000111229,ARPC3,expandedghs,Perfect
ILMN_1712587,ENSG00000113273,ARSB,expandedghs,Perfect
ILMN_2221673,ENSG00000138381,ASNSD1,expandedghs,Perfect
ILMN_2374865,ENSG00000162772,ATF3,expandedghs,Perfect
ILMN_1772540,ENSG00000166454,ATMIN,expandedghs,Perfect
ILMN_2367753,ENSG00000058668,ATP2B4,expandedghs,Perfect
ILMN_2340565,ENSG00000017260,ATP2C1,expandedboth,Perfect
ILMN_1672191,ENSG00000116459,ATP5F1,expandedghs,Perfect
ILMN_1794912,ENSG00000167863,ATP5H,expandedghs,Perfect
ILMN_1666372,ENSG00000167863,ATP5H,expandedghs,Perfect
ILMN_1652806,ENSG00000154723,ATP5J,expandedghs,Perfect
ILMN_1772929,ENSG00000154723,ATP5J,expandedghs,Perfect
ILMN_2348093,ENSG00000154723,ATP5J,expandedghs,Perfect
ILMN_1711102,ENSG00000170340,B3GNT2,expandedboth,Perfect
ILMN_1690241,ENSG00000168062,BATF2,expandedboth,Perfect
ILMN_1658327,ENSG00000198604,BAZ1A,expandedghs,Perfect
ILMN_2372413,ENSG00000015475,BID,expandedghs,Perfect
ILMN_2147920,NA,BRD7P2,expandedghs,Perfect
ILMN_1696420,ENSG00000166164,BRD7,expandedghs,Perfect
ILMN_2349600,ENSG00000112983,BRD8,expandedghs,Perfect
ILMN_1701711,ENSG00000112983,BRD8,expandedghs,Perfect
ILMN_1770085,ENSG00000159388,BTG2,expandedghs,Perfect
ILMN_2373831,ENSG00000111801,BTN3A3,expandedghs,Perfect
ILMN_1749210,ENSG00000137656,BUD13,expandedghs,Perfect
ILMN_1792270,ENSG00000151893,C10orf46,expandedboth,Perfect
ILMN_1671905,ENSG00000156384,C10orf78,expandedghs,Perfect
