hgnc_symbol,ensembl_gene_id,BF,pval,rsq
OMA1,ENSG00000162600,10.46,0.5700097,4.84E-04
TRIM37,ENSG00000108395,50.49,0.7363221,1.70E-04
PARP10,ENSG00000178685,39.47,0.8303526,6.89E-05
WDR33,ENSG00000136709,85.24,0.469654,7.84E-04
LOC285074,NA,11.78,,
EPC1,ENSG00000120616,14.88,0.4974739,6.90E-04
WSB1,ENSG00000109046,26.02,0.6170187,3.75E-04
VNN2,ENSG00000112303,27.59,0.7406645,1.64E-04
PIWIL4,ENSG00000134627,21.08,0.4499087,8.56E-04
KIF23,ENSG00000137807,53.91,0.9941406,8.09E-08
XPOT,ENSG00000184575,199.78,0.9425259,7.80E-06
MOCS2,ENSG00000164172,11.67,0.8015665,9.48E-05
ZBTB34,ENSG00000177125,16.89,0.6115727,3.87E-04
